PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,NATWGT,PSUWGT
1,54H,54,H,2,1,1,9,F,2,15,B,3036.58,38
1,55C,55,C,2,1,1,1,U,68,0,0,98.2893,1.23
1,55C,55,C,2,2,1,1,L,42,0,0,98.2893,1.23
1,55C,55,C,2,3,1,1,U,68,0,0,98.2893,1.23
1,55C,55,C,2,4,1,1,F,42,0,0,98.2893,1.23
1,56F,56,F,2,1,1,4,R,2,1,F,1174.677,14.7
1,56F,56,F,2,2,1,4,F,3,2,F,1174.677,14.7
1,57G,57,G,2,1,1,15,F,2,2,L,3356.22,42
1,57G,57,G,2,2,2,2,F,50,0,0,3356.22,42
1,58C,58,C,2,1,1,1,F,2,9,F,98.2893,1.23
1,59B,59,B,2,1,1,1,R,56,0,0,79.91,1
1,59B,59,B,2,2,1,1,T,31,0,N,79.91,1
1,60A,60,A,2,1,1,4,U,56,0,0,79.91,1
1,60A,60,A,2,2,1,4,U,56,0,0,79.91,1
1,60A,60,A,2,3,1,4,F,2,2,L,79.91,1
1,60A,60,A,2,4,1,4,R,3,2,F,79.91,1
1,60A,60,A,2,5,1,4,U,54,0,0,79.91,1
1,61C,61,C,2,1,1,1,R,2,13,F,79.91,1
1,61C,61,C,2,2,1,1,R,2,13,L,79.91,1
1,61C,61,C,2,3,2,13,R,51,0,0,79.91,1
1,62E,62,E,2,1,1,15,R,2,14,F,359.595,4.5
1,62E,62,E,2,2,1,15,B,62,0,0,359.595,4.5
1,63G,63,G,2,1,1,2,F,2,5,F,1438.38,18
1,64E,64,E,2,1,1,9,F,2,18,F,239.73,3
1,65F,65,F,2,1,1,15,R,2,2,L,343.613,4.3
1,65F,65,F,2,2,1,15,F,42,0,0,343.613,4.3
1,65F,65,F,2,3,2,2,R,45,0,0,343.613,4.3
1,66H,66,H,2,1,1,22,F,2,1,B,1358.47,17
1,67D,67,D,2,1,1,3,F,2,3,L,79.91,1
1,68D,68,D,2,1,1,1,L,41,0,0,79.91,1
1,68D,68,D,2,2,1,1,L,41,0,0,79.91,1
1,68D,68,D,2,3,1,1,R,41,0,0,79.91,1
1,69D,69,D,2,1,1,1,R,58,0,0,79.91,1
1,69D,69,D,2,2,1,1,L,42,0,0,79.91,1
1,70E,70,E,2,1,1,15,B,2,2,F,239.73,3
1,71G,71,G,2,1,1,9,9,44,0,0,958.92,12
1,72F,72,F,2,1,1,9,9,56,0,0,343.613,4.3
1,73E,73,E,2,1,1,9,F,51,0,0,239.73,3
1,74F,74,F,2,1,1,15,F,2,2,L,343.613,4.3
1,75H,75,H,2,1,1,20,9,2,3,F,1358.47,17
1,76G,76,G,2,1,1,3,F,76,0,0,958.92,12
1,77C,77,C,2,1,1,3,F,2,2,L,79.91,1
1,78E,78,E,2,1,1,2,R,2,18,9,239.73,3
1,78E,78,E,2,2,1,2,L,50,0,0,239.73,3
1,78E,78,E,2,3,1,2,L,63,0,0,239.73,3
1,79E,79,E,2,1,1,1,F,2,12,B,239.73,3
1,79E,79,E,2,2,2,12,F,42,0,0,239.73,3
1,80G,80,G,2,1,1,1,R,44,0,0,958.92,12
1,81F,81,F,2,1,1,3,F,2,22,L,343.613,4.3
1,82H,82,H,2,1,1,9,9,56,0,0,1358.47,17
1,83E,83,E,2,1,1,1,F,2,2,B,239.73,3
1,83E,83,E,2,2,2,2,L,3,20,F,239.73,3
1,83E,83,E,2,3,2,2,L,3,20,F,239.73,3
1,84G,84,G,2,1,1,9,9,60,0,0,958.92,12
1,86E,86,E,2,1,1,12,F,60,0,0,359.595,4.5
1,86E,86,E,2,2,1,12,F,42,0,0,359.595,4.5
1,86E,86,E,2,3,1,12,T,31,0,N,359.595,4.5
1,87G,87,G,2,1,1,2,R,2,15,F,1438.38,18
1,87G,87,G,2,2,1,2,F,56,0,0,1438.38,18
1,88D,88,D,2,1,1,4,F,2,15,F,119.865,1.5
1,88D,88,D,2,2,2,15,R,31,0,N,119.865,1.5
1,89E,89,E,2,1,1,1,F,2,4,F,359.595,4.5
1,92E,92,E,2,1,1,2,F,51,0,0,479.46,6
1,93G,93,G,2,1,1,9,F,2,9,F,1917.84,24
1,94E,94,E,2,1,1,9,R,2,9,F,359.595,4.5
1,94E,94,E,2,2,1,9,L,53,0,0,359.595,4.5
1,95F,95,F,2,1,1,9,F,51,0,0,515.4195,6.45
1,96D,96,D,2,1,1,3,F,56,0,0,119.865,1.5
1,96D,96,D,2,2,1,3,R,2,5,F,119.865,1.5
1,96D,96,D,2,3,1,3,L,56,0,0,119.865,1.5
1,97G,97,G,2,1,1,9,R,51,0,0,1438.38,18
2,1F,1,F,2,1,1,3,L,2,4,F,399.676,16.3
2,1F,1,F,2,2,1,3,R,50,0,0,399.676,16.3
2,3H,3,H,2,1,1,15,T,31,0,N,1348.6,55
2,4D,4,D,2,1,1,14,F,50,0,0,56.6412,2.31
2,4D,4,D,2,2,1,14,R,42,0,0,56.6412,2.31
2,5F,5,F,2,1,1,1,L,2,3,F,399.676,16.3
2,6F,6,F,2,1,1,4,U,68,0,0,399.676,16.3
2,6F,6,F,2,2,1,4,L,41,0,0,399.676,16.3
2,6F,6,F,2,3,1,4,F,41,0,0,399.676,16.3
2,6F,6,F,2,4,1,4,F,68,0,0,399.676,16.3
2,7C,7,C,2,1,1,2,F,51,0,0,65.6523,2.6775
2,8D,8,D,2,1,1,15,T,31,0,N,99.1221,4.0425
2,8D,8,D,2,2,1,15,B,2,1,F,99.1221,4.0425
2,8D,8,D,2,3,1,15,F,56,0,0,99.1221,4.0425
2,9F,9,F,2,1,2,5,L,3,5,L,699.433,28.525
2,9F,9,F,2,2,3,5,B,U,U,9,699.433,28.525
2,9F,9,F,2,3,1,9,F,3,5,F,699.433,28.525
2,10H,10,H,2,1,1,1,9,41,0,0,2360.05,96.25
2,11D,11,D,2,1,1,1,F,2,1,F,56.6412,2.31
2,11D,11,D,2,2,2,1,R,42,0,0,56.6412,2.31
2,11D,11,D,2,3,2,1,R,42,0,0,56.6412,2.31
2,12E,12,E,2,1,1,13,9,2,24,F,313.856,12.8
2,12E,12,E,2,2,1,13,F,50,0,0,313.856,12.8
2,12E,12,E,2,3,1,13,T,31,0,N,313.856,12.8
2,13D,13,D,2,1,1,2,F,42,0,0,56.6412,2.31
2,14D,14,D,2,1,1,1,F,50,0,0,56.6412,2.31
2,14D,14,D,2,2,1,1,F,52,0,0,56.6412,2.31
2,15E,15,E,2,1,1,1,F,56,0,0,313.856,12.8
2,16C,16,C,2,1,1,3,F,44,0,0,37.5156,1.53
2,16C,16,C,2,2,1,3,T,31,0,N,37.5156,1.53
2,17C,17,C,2,1,1,1,U,50,0,0,37.5156,1.53
2,17C,17,C,2,2,1,1,T,31,0,N,37.5156,1.53
2,18C,18,C,2,1,1,11,R,31,0,N,37.5156,1.53
2,19D,19,D,2,1,1,15,F,71,0,0,56.6412,2.31
2,20F,20,F,2,1,1,1,F,2,5,F,399.676,16.3
2,21G,21,G,2,1,1,3,F,2,3,B,956.28,39
2,22D,22,D,2,1,1,2,B,42,0,0,56.6412,2.31
2,23E,23,E,2,1,1,2,R,2,4,F,313.856,12.8
2,23E,23,E,2,2,1,2,L,71,0,0,313.856,12.8
2,24H,24,H,2,1,1,9,9,U,0,0,1348.6,55
2,25C,25,C,2,1,1,11,R,2,1,F,37.5156,1.53
2,25C,25,C,2,2,1,11,R,31,0,N,37.5156,1.53
2,26E,26,E,2,1,1,9,9,31,0,N,313.856,12.8
2,27C,27,C,2,1,1,1,F,56,0,0,37.5156,1.53
2,27C,27,C,2,2,1,1,F,42,0,0,37.5156,1.53
2,28F,28,F,2,1,1,2,T,31,0,N,399.676,16.3
2,28F,28,F,2,2,1,2,L,42,0,0,399.676,16.3
2,29D,29,D,2,1,1,1,F,50,0,0,288.3552,11.76
2,29D,29,D,2,2,1,1,U,88,0,0,288.3552,11.76
2,29D,29,D,2,3,1,1,F,42,0,0,288.3552,11.76
2,30C,30,C,2,1,1,2,F,2,15,F,101.758,4.15
2,31F,31,F,2,1,1,2,L,2,9,F,2265.648,92.4
2,31F,31,F,2,2,1,2,R,71,0,0,2265.648,92.4
2,32D,32,D,2,1,1,3,T,31,0,N,144.1776,5.88
2,33E,33,E,2,1,1,18,L,2,9,L,796.9,32.5
2,34G,34,G,2,1,1,1,F,50,0,0,3114.04,127
2,34G,34,G,2,2,1,1,R,31,0,N,3114.04,127
2,35G,35,G,2,1,1,1,L,50,0,0,2402.96,98
2,35G,35,G,2,2,1,1,B,56,0,0,2402.96,98
2,36C,36,C,2,1,1,2,F,43,0,0,88.272,3.6
2,36C,36,C,2,2,1,2,F,59,0,0,88.272,3.6
2,37D,37,D,2,1,1,1,T,31,0,N,144.1776,5.88
2,38B,38,B,2,1,1,1,F,2,22,F,45.6072,1.86
2,39C,39,C,2,1,1,1,F,56,0,0,88.272,3.6
2,40F,40,F,2,1,1,1,F,2,2,B,880.268,35.9
2,40F,40,F,2,2,2,2,F,3,3,B,880.268,35.9
2,41C,41,C,2,1,1,11,9,31,0,N,88.272,3.6
2,42E,42,E,2,1,2,1,F,56,0,0,664.492,27.1
2,42E,42,E,2,2,1,18,F,2,1,L,664.492,27.1
2,43D,43,D,2,1,1,3,F,42,0,0,144.1776,5.88
2,44F,44,F,2,1,1,18,F,2,2,B,880.268,35.9
2,45H,45,H,2,1,1,1,R,42,0,0,3506.36,143
2,45H,45,H,2,2,1,1,R,68,0,0,3506.36,143
2,46E,46,E,2,1,1,12,L,50,0,0,664.492,27.1
2,46E,46,E,2,2,1,12,T,31,0,N,664.492,27.1
2,47C,47,C,2,1,1,15,R,31,0,N,88.272,3.6
2,48F,48,F,2,1,1,1,F,42,0,0,880.268,35.9
2,49C,49,C,2,1,1,1,R,44,0,0,88.272,3.6
2,49C,49,C,2,2,1,1,9,56,0,0,88.272,3.6
2,49C,49,C,2,3,1,1,T,31,0,N,88.272,3.6
2,50D,50,D,2,1,1,2,F,71,0,0,144.1776,5.88
2,50D,50,D,2,2,1,2,L,71,0,0,144.1776,5.88
2,51C,51,C,2,1,1,1,F,57,0,0,88.272,3.6
2,51C,51,C,2,2,1,1,F,42,0,0,88.272,3.6
2,52D,52,D,2,1,1,5,R,2,1,F,144.1776,5.88
2,52D,52,D,2,2,1,5,R,2,1,L,144.1776,5.88
2,52D,52,D,2,3,1,5,R,56,0,0,144.1776,5.88
2,53G,53,G,2,1,1,3,F,56,0,0,2402.96,98
2,53G,53,G,2,2,1,3,R,56,0,0,2402.96,98
2,54E,54,E,2,1,1,2,F,43,0,0,664.492,27.1
2,54E,54,E,2,2,1,2,F,42,0,0,664.492,27.1
2,54E,54,E,2,3,1,2,R,42,0,0,664.492,27.1
2,54E,54,E,2,4,1,2,R,42,0,0,664.492,27.1
2,54E,54,E,2,5,1,2,R,42,0,0,664.492,27.1
2,55C,55,C,2,1,1,4,L,42,0,0,88.272,3.6
2,55C,55,C,2,2,1,4,L,42,0,0,88.272,3.6
2,55C,55,C,2,3,1,4,L,42,0,0,88.272,3.6
2,56F,56,F,2,1,1,13,F,50,0,0,880.268,35.9
2,56F,56,F,2,2,1,13,F,44,0,0,880.268,35.9
2,57C,57,C,2,1,1,2,L,71,0,0,88.272,3.6
2,57C,57,C,2,2,1,2,L,71,0,0,88.272,3.6
2,57C,57,C,2,3,1,2,F,71,0,0,88.272,3.6
2,58D,58,D,2,1,1,5,F,2,5,R,144.1776,5.88
2,58D,58,D,2,2,1,5,L,2,5,R,144.1776,5.88
2,58D,58,D,2,3,2,5,B,71,0,0,144.1776,5.88
2,59E,59,E,2,1,1,5,F,2,19,L,664.492,27.1
2,60G,60,G,2,1,1,5,U,44,0,0,2402.96,98
2,60G,60,G,2,2,1,5,T,31,0,N,2402.96,98
2,61H,61,H,2,1,1,3,L,56,0,0,3506.36,143
2,62C,62,C,2,1,1,15,T,31,0,N,37.5156,1.53
2,63G,63,G,2,1,2,9,B,3,13,F,956.28,39
2,63G,63,G,2,2,1,13,B,2,9,F,956.28,39
2,64D,64,D,2,1,1,12,R,2,3,F,56.6412,2.31
2,64D,64,D,2,2,1,12,T,31,0,N,56.6412,2.31
2,65D,65,D,2,1,1,2,F,2,2,F,56.6412,2.31
2,65D,65,D,2,2,2,2,R,42,0,0,56.6412,2.31
2,66E,66,E,2,1,1,15,B,2,2,F,272.172,11.1
2,67F,67,F,2,1,1,1,L,2,18,F,345.732,14.1
2,67F,67,F,2,2,1,1,R,3,15,B,345.732,14.1
2,67F,67,F,2,3,1,1,R,3,15,B,345.732,14.1
2,68B,68,B,2,1,1,1,F,42,0,0,24.52,1
2,69E,69,E,2,1,1,1,L,2,1,F,272.172,11.1
2,69E,69,E,2,2,2,1,B,3,1,F,272.172,11.1
2,69E,69,E,2,3,2,1,R,4,18,9,272.172,11.1
2,70G,70,G,2,1,1,3,F,50,0,0,956.28,39
2,70G,70,G,2,2,1,3,F,44,0,0,956.28,39
2,71E,71,E,2,1,1,1,9,2,18,9,272.172,11.1
2,71E,71,E,2,2,1,1,T,31,0,N,272.172,11.1
2,72H,72,H,2,1,1,2,R,56,0,0,1348.6,55
2,73F,73,F,2,1,1,5,F,2,5,F,345.732,14.1
2,74G,74,G,2,1,1,1,U,68,0,0,956.28,39
2,74G,74,G,2,2,1,1,F,42,0,0,956.28,39
2,75D,75,D,2,1,1,5,R,2,18,F,56.6412,2.31
2,76E,76,E,2,1,1,5,F,2,1,L,272.172,11.1
2,77D,77,D,2,1,1,2,F,42,0,0,56.6412,2.31
2,78H,78,H,2,1,1,9,N,38,0,N,1348.6,55
2,78H,78,H,2,2,2,2,F,88,0,0,1348.6,55
2,79B,79,B,2,1,1,3,F,2,4,F,30.65,1.25
2,80D,80,D,2,1,1,3,F,2,13,F,70.8015,2.8875
2,81E,81,E,2,1,1,1,R,2,18,F,340.215,13.875
2,82G,82,G,2,1,1,13,R,88,0,0,1195.35,48.75
2,83F,83,F,2,1,1,1,B,2,14,F,345.732,14.1
2,84D,84,D,2,1,1,1,L,51,0,0,56.6412,2.31
2,85H,85,H,2,1,1,1,L,45,0,0,1348.6,55
2,86C,86,C,2,1,1,1,U,44,0,0,37.5156,1.53
2,86C,86,C,2,2,1,1,F,58,0,0,37.5156,1.53
2,86C,86,C,2,3,1,1,T,31,0,N,37.5156,1.53
2,87D,87,D,2,1,1,2,F,56,0,0,56.6412,2.31
2,87D,87,D,2,2,1,2,L,56,0,0,56.6412,2.31
2,88G,88,G,2,1,1,2,R,41,0,0,956.28,39
2,88G,88,G,2,2,1,2,R,41,0,0,956.28,39
2,88G,88,G,2,3,1,2,F,41,0,0,956.28,39
2,89B,89,B,2,1,1,13,F,42,0,0,24.52,1
2,90C,90,C,2,1,1,1,F,56,0,0,37.5156,1.53
2,91F,91,F,2,1,1,1,R,2,20,F,345.732,14.1
2,91F,91,F,2,2,1,1,L,31,0,N,345.732,14.1
2,91F,91,F,2,3,1,1,L,2,20,F,345.732,14.1
2,94E,94,E,2,1,1,3,U,60,0,0,272.172,11.1
2,94E,94,E,2,2,1,3,F,56,0,0,272.172,11.1
2,95G,95,G,2,1,1,9,U,88,0,0,956.28,39
2,96C,96,C,2,1,1,15,F,42,0,0,37.5156,1.53
2,97A,97,A,2,1,1,13,F,2,1,F,24.52,1
2,98E,98,E,2,1,1,14,R,44,0,0,272.172,11.1
2,99F,99,F,2,1,1,3,F,51,0,0,345.732,14.1
2,99F,99,F,2,2,1,3,R,51,0,0,345.732,14.1
2,99F,99,F,2,3,1,3,R,51,0,0,345.732,14.1
2,99F,99,F,2,4,1,3,R,42,0,0,345.732,14.1
2,99F,99,F,2,5,1,3,U,88,0,0,345.732,14.1
2,99F,99,F,2,6,1,3,F,41,0,0,345.732,14.1
2,99F,99,F,2,7,1,3,U,88,0,0,345.732,14.1
2,99F,99,F,2,8,1,3,F,42,0,0,345.732,14.1
2,100H,100,H,2,1,1,3,U,60,0,0,1348.6,55
2,100H,100,H,2,2,1,3,B,41,0,0,1348.6,55
2,101D,101,D,2,1,1,2,F,42,0,0,56.6412,2.31
2,101D,101,D,2,2,1,2,R,42,0,0,56.6412,2.31
2,102E,102,E,2,1,1,9,F,71,0,0,272.172,11.1
2,103G,103,G,2,1,1,5,F,2,2,L,956.28,39
2,103G,103,G,2,2,2,2,R,56,0,0,956.28,39
2,104D,104,D,2,1,1,2,T,31,0,N,56.6412,2.31
2,105G,105,G,2,1,1,3,F,2,24,F,956.28,39
2,106H,106,H,2,1,1,1,L,41,0,0,1348.6,55
2,106H,106,H,2,2,1,1,T,31,0,N,1348.6,55
2,106H,106,H,2,3,1,1,T,62,0,0,1348.6,55
3,1C,1,C,2,1,2,9,F,3,1,L,50.46172,19.82
3,1C,1,C,2,2,1,9,R,2,9,F,50.46172,19.82
3,1C,1,C,2,3,3,1,F,68,0,0,50.46172,19.82
3,2E,2,E,2,1,1,U,L,2,2,F,229.9038,90.3
3,2E,2,E,2,2,2,2,B,3,2,F,229.9038,90.3
3,3G,3,G,2,1,1,2,F,2,9,L,1425.76,560
3,4C,4,C,2,1,1,5,R,2,9,B,25.23086,9.91
3,5F,5,F,2,1,1,4,R,2,9,F,282.606,111
3,5F,5,F,2,2,1,4,L,63,0,0,282.606,111
3,5F,5,F,2,3,1,4,L,72,0,0,282.606,111
3,5F,5,F,2,4,1,4,L,72,0,0,282.606,111
3,6H,6,H,2,1,1,9,L,2,4,R,1741.464,684
3,6H,6,H,2,2,2,4,F,58,0,0,1741.464,684
3,7G,7,G,2,1,1,18,F,2,9,R,712.88,280
3,8B,8,B,2,1,1,3,F,2,1,R,13.57018,5.33
3,9D,9,D,2,1,1,9,L,2,5,F,36.00044,14.14
3,10H,10,H,2,1,1,2,F,2,9,B,1741.464,684
3,11D,11,D,2,1,1,4,F,56,0,0,36.00044,14.14
3,11D,11,D,2,2,1,4,B,56,0,0,36.00044,14.14
3,12F,12,F,2,1,1,9,F,2,9,R,282.606,111
3,12F,12,F,2,2,2,9,U,63,0,0,282.606,111
3,12F,12,F,2,3,2,9,L,52,0,0,282.606,111
3,13E,13,E,2,1,1,3,F,2,9,F,229.9038,90.3
3,14G,14,G,2,1,1,14,B,2,1,F,712.88,280
3,14G,14,G,2,2,2,1,B,3,9,F,712.88,280
3,15E,15,E,2,1,1,2,B,2,9,F,229.9038,90.3
3,16D,16,D,2,1,1,22,B,2,9,F,36.00044,14.14
3,17F,17,F,2,1,1,9,B,2,9,F,565.212,222
3,17F,17,F,2,2,2,9,B,3,1,F,565.212,222
3,18G,18,G,2,1,1,2,L,2,1,F,712.88,280
3,20E,20,E,2,1,1,9,F,2,1,L,459.8076,180.6
3,20E,20,E,2,2,2,1,F,89,0,0,459.8076,180.6
3,21C,21,C,2,1,1,9,F,56,0,0,25.23086,9.91
3,21C,21,C,2,2,1,9,F,53,0,0,25.23086,9.91
3,22B,22,B,2,1,1,24,F,2,22,B,13.57018,5.33
3,22B,22,B,2,2,2,22,F,3,5,R,13.57018,5.33
3,22B,22,B,2,3,1,24,F,4,3,B,13.57018,5.33
3,22B,22,B,2,4,4,3,F,5,5,B,13.57018,5.33
3,22B,22,B,2,5,5,5,F,56,0,0,13.57018,5.33
3,22B,22,B,2,6,4,3,F,56,0,0,13.57018,5.33
3,22B,22,B,2,7,1,24,F,56,0,0,13.57018,5.33
3,23F,23,F,2,1,1,3,F,2,3,L,565.212,222
3,24E,24,E,2,1,1,5,B,56,0,0,229.9038,90.3
3,24E,24,E,2,2,1,5,U,63,0,0,229.9038,90.3
3,24E,24,E,2,3,1,5,F,58,0,0,229.9038,90.3
3,25E,25,E,2,1,1,5,F,2,2,F,89.6192,35.2
3,26F,26,F,2,1,1,1,F,2,5,L,114.3154,44.9
3,27E,27,E,2,1,1,15,B,2,9,F,89.6192,35.2
3,28H,28,H,2,1,1,9,R,98,0,0,445.55,175
3,29F,29,F,2,1,1,1,B,2,3,F,114.3154,44.9
3,30C,30,C,2,1,1,1,F,2,13,B,12.3481,4.85
3,30C,30,C,2,2,1,1,R,71,0,0,12.3481,4.85
3,31E,31,E,2,1,2,5,B,3,2,F,89.6192,35.2
3,31E,31,E,2,2,2,5,F,56,0,0,89.6192,35.2
3,31E,31,E,2,3,1,5,F,2,5,F,89.6192,35.2
3,32D,32,D,2,1,1,15,F,2,3,R,18.68764,7.34
3,33D,33,D,2,1,1,4,F,71,0,0,18.68764,7.34
3,34C,34,C,2,1,1,9,F,2,18,B,12.3481,4.85
3,34C,34,C,2,2,2,18,F,71,0,0,12.3481,4.85
3,35E,35,E,2,1,1,9,F,2,9,L,89.6192,35.2
3,35E,35,E,2,2,2,9,F,71,0,0,89.6192,35.2
3,36E,36,E,2,1,1,9,L,2,9,F,89.6192,35.2
3,37G,37,G,2,1,1,2,F,2,9,L,318.25,125
3,38C,38,C,2,1,1,1,U,63,0,0,12.3481,4.85
3,38C,38,C,2,2,1,1,F,52,0,0,12.3481,4.85
3,39C,39,C,2,1,1,5,B,2,2,F,12.3481,4.85
3,40F,40,F,2,1,1,14,F,2,2,F,114.3154,44.9
3,41H,41,H,2,1,2,2,F,3,14,L,445.55,175
3,41H,41,H,2,2,3,14,R,71,0,0,445.55,175
3,41H,41,H,2,3,1,9,F,2,2,F,445.55,175
3,42C,42,C,2,1,1,3,L,2,9,F,12.3481,4.85
3,43E,43,E,2,1,1,9,F,2,9,L,89.6192,35.2
3,43E,43,E,2,2,2,9,F,71,0,0,89.6192,35.2
3,44E,44,E,2,1,1,2,F,2,9,L,89.6192,35.2
3,45F,45,F,2,1,1,4,F,2,2,L,114.3154,44.9
3,46G,46,G,2,1,1,9,F,2,22,L,318.25,125
3,47E,47,E,2,1,1,1,F,71,0,0,89.6192,35.2
3,48F,48,F,2,1,1,9,L,2,9,F,114.3154,44.9
3,48F,48,F,2,2,1,9,F,71,0,0,114.3154,44.9
3,48F,48,F,2,3,2,9,F,71,0,0,114.3154,44.9
3,49C,49,C,2,1,1,1,F,54,0,0,12.3481,4.85
3,50C,50,C,2,1,1,9,F,71,0,0,12.3481,4.85
3,51C,51,C,2,1,1,2,F,2,U,F,12.3481,4.85
