PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN,PSUSTRAT
2,10,20.62590823,10B,B,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,114,0,8,0,3
2,11,382.53884622,11E,E,5,1,6,1,1,1,3,3,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,11,13,2,3,11,16,2,3,98,12,2,1,11,6,1,3,11,12,1,1,11,14,1,1,,,,,,,,,,,,,,,,,2,0,0,32,0,8,0,3
2,12,830.34950501,12G,G,5,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,40,0,8,1,3
2,14,100.42600583,14E,E,5,2,0,U,1,U,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,12,0,0,0,3
2,15,217.98749343,15G,G,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,12,0,8,0,3
2,16,442.63987466,16H,H,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,164,0,8,0,3
2,17,33.216248929,17D,D,5,1,13,2,3,0,0,1,2,0,0,0,0,2,6,6,8,8,0,8,8,U,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,0,0,0,0,0,13,14,3,1,11,27,3,3,13,15,3,1,13,6,3,1,13,12,3,1,11,2,3,2,11,1,2,2,13,13,2,1,11,12,2,1,12,12,2,1,2,0,0,97,0,8,8,3
2,18,83.829727171,18E,E,5,1,6,1,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,40,0,8,0,3
2,19,101.05324845,19F,F,5,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,115,0,8,0,3
2,20,369.48975141,20H,H,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,56,0,8,1,3
2,21,33.216248929,21K,K,5,1,98,1,3,1,3,0,0,0,0,0,0,0,0,6,0,0,6,8,0,2,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,2,0,0,1,0,0,23,20,4,3,23,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,108,1,8,0,3
2,22,129.21161515,22F,F,5,1,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,80,0,8,0,3
2,23,232.66696057,23G,G,5,1,6,3,1,1,1,1,0,0,0,0,0,2,6,0,0,0,0,8,6,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,2,0,0,0,0,0,2,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,24,0,8,0,3
2,24,472.44762826,24H,H,5,1,6,1,1,1,1,0,0,0,0,0,0,0,6,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,63,0,8,0,3
2,25,77.726022494,25K,K,5,1,98,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,6,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,1,0,1,21,8,3,3,13,13,2,3,11,6,2,3,11,14,2,1,13,6,2,3,12,12,2,1,13,12,2,1,12,14,2,1,23,17,2,3,11,7,2,3,2,0,0,89,0,0,1,3
2,26,52.178298234,26D,D,5,1,11,1,3,0,0,0,0,0,0,0,0,2,6,6,4,4,6,8,8,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,1,2,2,2,2,1,0,0,11,12,3,1,11,13,3,1,13,13,3,1,21,13,3,1,23,13,3,1,12,12,3,1,13,12,3,1,21,8,3,1,23,8,3,1,11,14,3,1,2,0,0,69,0,8,0,3
2,27,281.53931889,27E,E,5,1,13,1,3,0,2,1,0,0,0,2,0,2,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,17,3,3,13,10,2,3,13,12,2,3,13,13,2,3,13,16,2,3,13,32,2,3,13,19,2,3,13,7,2,3,11,19,2,3,13,14,1,3,2,0,0,32,1,8,8,3
2,28,339.38393577,28F,F,5,1,7,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,11,13,2,1,11,6,1,1,11,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,77,0,8,0,3
2,30,147.40415454,30G,G,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,59,1,8,0,3
2,32,299.31513714,32H,H,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,101,0,8,0,3
2,33,33.216248929,33K,K,5,1,U,U,U,0,0,U,0,0,0,0,0,U,U,U,U,U,0,8,8,U,U,U,0,0,0,0,0,1,2,2,2,2,0,0,0,1,2,2,1,1,0,0,0,11,5,4,2,11,2,3,2,11,6,3,2,11,1,3,2,12,3,3,2,11,17,3,2,12,26,2,2,13,4,2,2,13,5,2,2,U,U,U,U,1,3,9,U,1,8,U,3
2,34,112.17256257,34F,F,5,1,6,3,1,3,1,1,0,0,0,0,0,2,6,0,6,0,0,8,6,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,1,2,0,2,0,0,0,1,21,13,2,3,21,10,2,3,11,19,2,3,21,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,106,0,8,0,3
2,35,112.17256257,35F,F,5,1,6,1,3,1,1,0,0,0,0,0,0,2,0,6,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,12,3,1,11,27,3,2,13,6,1,1,11,12,1,1,12,12,1,1,13,14,1,1,13,15,1,1,13,16,1,1,11,14,1,1,12,14,1,1,2,0,0,U,1,8,0,3
2,36,410.1462634,36H,H,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,9,0,8,8,3
2,37,48.264625259,37A,A,5,1,11,3,3,3,3,0,0,0,0,0,0,2,6,6,6,0,6,8,6,0,0,0,0,0,0,0,0,1,2,2,2,0,2,0,2,1,2,2,2,0,1,0,1,11,14,4,1,11,6,4,1,11,12,4,1,11,13,4,1,13,16,4,1,11,15,4,1,12,14,3,1,11,7,3,1,12,12,3,1,12,15,3,1,1,0,0,2,0,8,1,3
2,38,199.5057101,38J,J,5,1,11,1,U,1,1,0,0,0,0,0,0,2,0,6,0,6,6,8,6,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,1,0,2,0,2,1,0,1,12,12,2,1,13,12,2,1,12,14,2,1,11,15,2,1,12,15,2,1,23,12,2,1,11,12,2,1,11,14,2,1,13,14,1,1,13,15,1,1,2,0,0,20,U,0,U,3
2,39,89.092244587,39J,J,5,1,98,3,3,3,1,3,0,0,0,0,0,3,6,6,0,6,6,2,6,2,0,0,1,0,0,2,0,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,12,14,6,1,11,14,6,1,11,6,5,1,98,9,5,1,13,12,5,1,13,15,5,1,13,16,5,1,11,12,4,1,12,12,4,1,12,13,4,1,2,3,2,1,1,8,1,3
2,40,406.59090449,40E,E,5,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,24,0,8,0,3
2,40,406.59090449,40E,E,5,2,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,37,0,8,0,3
2,41,41.870593708,41B,B,5,1,98,2,3,3,1,1,2,0,0,0,0,2,6,0,0,0,0,8,0,0,U,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,5,5,2,11,31,5,2,11,1,4,2,11,2,4,2,11,14,4,2,11,30,3,2,12,3,3,2,13,14,3,2,12,30,3,2,12,14,3,2,1,1,5,101,U,8,1,3
2,42,85.137649888,42F,F,5,1,6,1,3,3,1,3,0,0,0,0,0,2,0,6,0,6,0,8,6,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,1,0,2,0,2,0,0,1,23,13,2,1,23,16,2,1,13,6,2,1,13,7,2,1,23,8,2,1,13,12,2,1,13,13,2,1,13,14,2,1,13,15,2,1,13,16,2,1,2,0,0,53,0,8,0,3
2,43,85.137649888,43F,F,5,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,19,1,2,11,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,54,1,8,0,3
2,44,311.29616884,44H,H,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,89,0,8,0,3
2,45,48.264625259,45A,A,5,1,98,1,1,0,0,2,0,0,0,0,5,2,6,6,6,6,6,8,8,0,U,0,0,0,0,0,0,1,2,2,2,2,2,0,0,1,2,2,2,2,1,0,0,23,12,5,1,22,12,5,1,21,12,5,1,23,18,5,1,23,8,4,1,21,18,4,1,23,13,4,1,11,13,4,1,21,13,3,1,21,8,3,1,1,0,0,60,0,0,0,3
2,46,172.48659371,46E,E,5,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,42,1,8,0,3
2,47,207.92541258,47F,F,5,1,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,98,1,8,1,3
2,49,57.133765798,49A,A,5,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,8,8,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,5,2,2,13,17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,87,1,8,0,3
2,49,57.133765798,49A,A,5,2,98,1,3,0,0,0,0,0,0,0,0,2,0,6,6,6,U,U,0,3,0,0,0,0,0,0,6,1,0,2,U,U,U,U,2,1,0,2,1,1,1,U,2,13,17,5,2,13,5,4,2,13,27,3,3,12,14,3,2,13,6,2,2,13,10,2,3,13,14,2,2,12,19,2,3,13,4,2,2,12,3,2,2,2,0,0,45,1,8,1,3
2,51,441.73265771,51G,G,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,48,0,0,0,3
2,51,441.73265771,51G,G,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,70,1,8,0,3
2,53,44.551961778,53B,B,5,1,98,3,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,8,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,5,6,2,12,3,5,2,11,19,4,2,11,2,4,2,11,17,4,2,21,7,3,3,11,14,3,2,23,19,3,2,11,1,3,2,11,12,3,1,2,1,5,71,1,8,1,3
2,54,420.17619522,54E,E,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,27,0,0,0,3
2,55,174.86980065,55G,G,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,59,0,8,0,3
2,56,355.08618143,56H,H,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,43,0,8,0,3
2,58,232.40760602,58G,G,5,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,U,U,8,0,3
2,59,111.96731616,59F,F,5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,24,0,8,0,3
2,60,111.96731616,60F,F,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,84,0,8,0,3
2,61,201.6157379,61G,G,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,45,0,8,0,3
2,62,409.39580317,62H,H,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,87,0,8,0,3
2,63,20.62590823,63B,B,5,1,6,1,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,12,1,1,23,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,73,0,8,0,3
2,64,67.428985326,64K,K,5,1,98,1,3,3,3,0,0,0,0,0,0,2,0,6,0,6,6,8,6,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,1,0,2,0,2,1,0,1,23,10,5,3,23,16,5,3,23,17,5,3,13,16,5,3,13,10,5,3,13,17,5,3,13,7,4,3,13,12,4,3,23,13,4,3,13,13,4,3,1,0,0,152,0,8,1,3
2,64,67.428985326,64K,K,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,122,0,8,0,3
2,65,33.216248929,65K,K,5,1,0,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,5,2,2,11,1,1,2,11,19,1,2,11,2,1,2,11,5,1,2,11,26,1,3,11,17,1,1,13,4,1,2,,,,,,,,,1,2,6,78,1,8,1,3
2,66,1218.3698369,66G,G,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,5,0,0,0,3
2,68,79.432728938,68E,E,5,1,0,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,5,3,2,11,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,33,1,8,1,3
2,69,80.240542637,69F,F,5,1,U,U,U,0,0,1,0,0,0,0,0,2,U,U,0,0,0,0,8,U,U,U,0,0,0,0,0,U,U,U,0,0,0,0,0,1,U,U,0,0,0,0,0,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,U,U,U,8,U,3
2,70,293.39045113,70H,H,5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,151,0,8,0,3
2,71,33.216248929,71K,K,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,54,0,8,0,3
2,71,33.216248929,71K,K,5,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,70,1,8,1,3
2,72,67.428985326,72K,K,5,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,7,113,1,8,0,3
2,73,82.127312417,73C,C,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,7,0,8,0,3
2,74,579.90193536,74E,E,5,1,U,U,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,11,1,8,0,3
